plant_age_months,number_of_plants,fertilizer_type,fertilizer_frequency,pesticide_type,pesticide_frequency,pruning_interval_months,shade_tree_present,soil_ph,avg_temp_c,avg_rainfall_mm,avg_humidity_pct,previous_yield_per_tree,previous_fine_pct,previous_premium_pct,previous_commercial_pct,trees_productive_pct,yield_trend,yield_kg,fine_grade_pct,premium_grade_pct,commercial_grade_pct
74,1258,synthetic,sometimes,organic,often,24,True,5.5219493843125225,22.60281073928923,179.67849086264135,55.86719755342202,2.4437525838895207,17.28072850495105,58.35558684167138,24.363684653377575,64.88228512282146,0,2120.675394707344,20.655787558613625,60.59544093382522,18.748771507561152
8,209,organic,rarely,organic,sometimes,18,False,5.568116229661267,20.52368927422475,192.64451307124165,67.9554654962341,2.4132014352106013,15.19854157170472,57.03100983459974,27.770448593695534,61.09596523594455,1,0.0,22.25904055978827,61.148397535105474,16.59256190510625
31,737,none,sometimes,organic,rarely,12,True,4.674593936676089,19.899653583341106,195.4522043338068,65.9327933142007,4.055789932390425,25.148999369525285,67.78902635540047,7.061974275074249,82.78769589256805,1,736.7748277375953,20.23137846885944,55.1106644526678,24.657957078472755
81,530,synthetic,sometimes,synthetic,rarely,6,True,5.852228240942902,23.102977948602398,173.6704310614201,55.124310853991076,4.584049132667419,16.232305728721872,52.31148769106889,31.45620658020924,86.44428984900671,0,1614.1181389141243,23.352172497287214,64.46637330586408,12.181454196848705
87,111,organic,often,organic,sometimes,6,True,5.277817027263356,22.480070341105428,117.60197251150103,95.0,3.6159621480062167,16.735308344963038,47.32376566743322,35.940925987603734,65.89018647605258,0,154.2025245974732,24.576774989982336,67.5952471088297,7.827977901187964
17,51,organic,sometimes,synthetic,rarely,12,True,5.342423821470909,24.505978161579883,117.12492197466244,68.31753300867588,4.114128903709531,21.75751586115096,69.50269422684529,8.739789912003744,73.95885548555935,1,23.624805494346532,27.500759701392184,67.81194161188915,4.687298686718663
95,751,organic,often,organic,rarely,12,False,5.585952984539083,25.668365395601896,211.75442443674632,80.26448161334696,2.9984036521975805,23.24126445890016,47.255568727013554,29.503166814086285,63.25859687320647,1,1302.8000901182713,21.14457393368288,60.609086773831464,18.246339292485658
62,1386,synthetic,sometimes,synthetic,rarely,36,False,5.208770921724588,20.71817877279458,54.82172426110496,66.96822334987353,4.975058581748693,14.398131316933634,40.54226090846563,45.05960777460074,77.2862800314202,-1,1728.7376735723544,17.56015805182914,54.459856436900296,27.979985511270556
173,331,organic,sometimes,synthetic,often,12,True,6.687909265119131,25.190322843813387,98.66995751337905,72.56865539592984,4.475723100198165,28.692969347435348,68.59215541071859,2.714875241846059,71.57626066346798,0,358.7209262276074,22.273814534643968,61.19948530319907,16.526700162156956
120,573,none,rarely,synthetic,often,18,False,5.224595142143933,28.14601381251583,206.20487839826237,68.96095627515471,4.145510276056314,31.676807964502594,67.39721657669413,0.9259754588032791,77.89698396013281,0,476.2478907763229,19.431002645239808,50.802782502611606,29.766214852148593
74,112,none,often,none,rarely,6,True,4.605077328081151,25.278077600502005,148.3485823344013,82.76823004425603,4.843633236758464,21.431629040343214,65.26069225035944,13.307678709297349,66.80330118982056,0,130.6872330291947,18.63812855049594,52.668800900845284,28.69307054865878
82,271,synthetic,sometimes,organic,often,18,True,5.003900940318462,29.531147393255537,140.77034387081386,62.2008026673687,3.910307497089661,10.359837215743896,43.48217921520749,46.15798356904862,61.610092470761344,-1,491.1846893337607,20.20960429263288,59.2809492878764,20.509446419490722
95,59,organic,sometimes,synthetic,often,18,True,5.919435817344082,22.199349368523617,172.79208339960076,71.14686403138239,4.731036086412309,24.386854446896976,51.645097786195656,23.968047766907368,82.51508764548237,0,129.8930613674036,24.258990710155157,64.683004222873,11.058005066971845
72,364,synthetic,never,none,rarely,12,False,6.33975992525995,24.921898562629828,202.5144847535584,81.29628841923612,1.769155576570879,14.435988594493072,62.51844254922575,23.04556885628118,88.23921587435424,1,606.8708088319227,19.996195907728183,60.07387463549357,19.929929456778254
35,166,organic,rarely,organic,never,36,False,6.035225133839558,23.626424257218947,161.9918041707572,95.0,2.7186154599731225,12.08211027988149,42.75112441775443,45.16676530236408,81.08543240653916,0,125.96310524763445,22.486777474561837,63.850586499336444,13.662636026101723
104,406,organic,often,synthetic,never,6,False,4.931149395101605,19.777608676870337,141.26223114990256,72.86552848288153,3.9971611216734657,23.960106243395124,52.72666027740929,23.31323347919558,91.72240347831575,-1,771.4508467345788,21.97648609831977,63.153609028928386,14.869904872751846
235,916,organic,often,organic,often,18,False,5.8586056591292985,21.6809706484336,170.9804069703577,79.9799829124545,3.332293871608681,27.39371722461543,53.636231943033195,18.970050832351376,81.96453280294222,0,1299.9550021705231,18.820725811391462,59.318012821828354,21.861261366780177
67,341,synthetic,sometimes,organic,often,24,False,6.245177809917679,28.429975876288886,198.00971813449675,73.67700556057537,4.397287502751837,11.130466752654735,40.79100923491756,48.0785240124277,73.17621784073174,1,770.5460381401457,19.828190232121074,57.47563262394693,22.696177143931997
143,1444,synthetic,often,none,sometimes,12,True,4.978845930674885,25.606475429925613,212.4178725644187,90.41370996918182,2.111732231147782,12.838939804990726,60.14719586778399,27.013864327225278,78.21076953163276,1,2823.632690225486,24.691121887322982,62.91068168488641,12.398196427790609
74,502,none,sometimes,synthetic,sometimes,6,False,4.582461486943607,29.883910415890913,159.4703314971216,80.34809290081267,2.8562102420675504,27.441046787336585,63.89415327021632,8.66479994244709,76.07713827811604,1,566.6977816377481,17.277917640766393,51.04548759423565,31.676594764997958
82,787,organic,often,synthetic,often,18,True,5.498057508600551,27.135938379022832,160.56560767397292,74.23236090971668,2.969218891433339,23.360587593313078,50.67974452815958,25.959667878527334,91.2976042013574,-1,1900.582955237914,23.53756094856962,63.09976868385219,13.36267036757819
121,329,synthetic,sometimes,synthetic,rarely,18,True,6.310841255427297,21.036192462610376,171.14482238271304,84.68623156304422,2.8945106836939205,12.6793002834944,53.422371004703635,33.898328711801966,78.64160432592581,0,508.8848486611012,19.630140673636213,54.486903992771225,25.882955333592555
76,216,synthetic,sometimes,synthetic,sometimes,18,True,6.226872559116896,23.131866158601927,113.3918992192994,80.95401135710424,2.742114640320231,18.25871203202285,68.01075471279624,13.730533255180902,60.263702709692616,0,270.22357173316243,22.79622630671747,59.69040812057092,17.513365572711606
133,228,synthetic,rarely,none,sometimes,12,False,6.908188198868562,24.797865808063296,161.46109452370666,76.38507962388442,2.7774678036170615,33.300358556423355,49.619265764785425,17.080375678791214,80.78590841452646,0,289.56443923940446,17.899676673479696,55.45932492846629,26.640998398054023
79,158,organic,often,none,often,12,False,5.851953872483739,23.53296829382376,216.71128246639228,77.54420843301213,1.1289756948183027,29.881682796497255,46.048819601432335,24.069497602070406,65.72795800029965,-1,279.98499353142626,19.68784017248919,63.97155684934687,16.340602978163943
77,181,synthetic,sometimes,organic,often,12,True,5.941368734865139,26.3125955816609,110.85655016880634,86.43754043206928,1.1267243269852427,29.8506297317574,58.60218267785541,11.547187590387182,78.67113821917125,1,422.84764142013057,20.9629143440598,60.51599712147823,18.521088534461974
81,246,synthetic,sometimes,synthetic,rarely,12,True,6.59826313796145,29.99795161874941,198.72394193006735,90.67594420878967,4.220594725140852,33.97686986410069,50.275727715356304,15.747402420543004,67.95728440604955,0,414.87199612972677,22.19674873480724,61.270271424769184,16.53297984042357
143,526,organic,never,organic,never,24,False,5.602435775766509,22.58915565981167,153.9019556549265,70.70861964932409,4.268708550511215,18.303660316373474,49.34332792136924,32.35301176225728,67.95884673069894,0,443.4827301315616,21.924323725452094,56.489174751940745,21.586501522607158
218,746,organic,often,organic,sometimes,12,True,6.423295687067157,21.90535191505394,133.72386023432983,67.79367764696816,1.4570635295355183,22.879342060170316,69.26623947048269,7.854418469346996,76.06461458059546,0,1239.110026251147,22.732529115609054,63.07888431052026,14.188586573870687
53,685,organic,often,synthetic,rarely,12,True,5.093482980835038,24.611105394416548,181.5936905667387,72.45178731627635,4.757519579601348,19.332732906993826,48.12234019430662,32.54492689869956,82.53998401336555,0,2316.678556203459,25.682508096064858,65.39189645756557,8.925595446369584
13,1087,synthetic,sometimes,synthetic,rarely,12,False,5.99567981334527,20.24665927084409,206.96108076827605,73.15097863557011,4.178496027822984,18.5454337924469,47.782703002938774,33.671863204614326,73.28923428585435,0,710.3197583798608,22.870042104794383,53.410244625918295,23.719713269287325
7,79,synthetic,sometimes,synthetic,sometimes,12,True,5.199569705233993,29.561896131935637,214.12101067111132,86.51425374464732,4.2016274416025325,23.241541966377028,64.45163285207371,12.306825181549257,77.4331763728852,-1,0.0,21.757949711356517,62.77840746590092,15.463642822742564
50,294,organic,often,organic,never,24,True,5.664996457977774,27.622776511290787,179.21948858414012,79.3230873119077,3.246821001535809,33.732669926444146,51.89948119156163,14.367848881994227,93.39304277888715,-1,694.966106685171,21.752062811380974,65.19045355425871,13.057483634360324
93,350,synthetic,sometimes,synthetic,never,6,True,5.615328629992113,22.02330473407139,196.54948855552084,85.10141460428619,2.8458530033610625,12.16763029655459,68.74512379011792,19.087245913327493,86.54373448809885,0,1035.4459797983106,22.659612543865645,62.17269695795246,15.16769049818189
202,815,organic,sometimes,none,never,18,True,5.776266907686007,26.044502092117874,171.13273504521845,75.29756139495746,1.9359521295946505,30.722886853766934,41.11022904146478,28.166884104768286,80.86944574687186,0,927.7357341842807,22.208459120129813,62.419969441639395,15.371571438230788
117,82,none,never,none,rarely,36,False,5.489626929939776,28.22804232055674,261.95592494477,71.37161439560342,4.431547013838524,34.602086729982375,63.04820241593555,2.349710854082076,74.62183737585669,0,36.84398242582544,16.549459267867057,45.14042616667935,38.31011456545359
27,387,synthetic,rarely,none,sometimes,6,True,7.185833653243712,22.008309259360004,216.68411657534546,91.21108557787716,2.807098299574289,15.766745292943966,45.29584096016525,38.93741374689078,67.71701731745614,-1,323.07503977455616,24.73075637198479,61.00850741250107,14.260736215514136
47,138,none,rarely,organic,often,36,False,6.126099461673605,27.25082896171641,135.97774165351217,76.0473529863813,2.338039458818144,19.31721292530785,47.79261351280979,32.89017356188237,85.31970397910047,0,78.0093615881763,17.975365655890876,51.87678654689618,30.147847797212954
108,891,none,sometimes,none,sometimes,18,True,5.4104852050577925,25.441686322232243,155.18706525610813,66.66441012720733,3.845787153312235,14.018997401207706,64.53901072357186,21.441991875220424,89.12469622852097,0,1202.3666352486032,17.560215788530122,55.39250713205445,27.047277079415437
18,718,none,rarely,none,sometimes,6,True,5.582225632618775,24.523917808103484,97.60164396077175,84.6501496106323,3.294119829953647,11.143550845312822,66.14610418457129,22.710344970115898,94.07211392120888,1,198.7109875044394,21.94828604385151,53.76849947785403,24.28321447829446
7,164,synthetic,often,organic,never,24,False,4.691936539317159,22.299991762469684,216.53941832125037,65.70667805897726,3.8562665541393395,15.008978588717817,66.04368440471593,18.947337006566258,85.02234140707867,0,39.13755001473093,19.37161982112718,54.03645347403033,26.591926704842486
141,1335,synthetic,often,synthetic,never,12,False,4.9850372819659885,23.05170639469042,140.3667036812919,74.85710968610032,3.1188713086147946,16.724835110877443,63.92677301911564,19.348391870006907,70.86266856232508,0,1709.6041183642683,17.624145764771416,56.520829312288605,25.855024922939982
18,328,none,rarely,synthetic,sometimes,18,True,5.274208799215491,24.11298069950381,159.23255473274443,74.13861554516636,0.8536032371975933,19.9230819050399,43.98147262129181,36.095445473668285,79.86392968915453,0,100.55127393365132,21.699033154879004,55.749267365825546,22.55169947929545
65,727,synthetic,sometimes,synthetic,sometimes,18,True,5.739506205888875,28.49569451659524,237.4259320567666,70.39704555806154,3.1697539173958043,26.257354646836347,54.37836785728862,19.36427749587503,81.5509707679785,0,1700.6064700374134,21.32091524228568,61.48553035168881,17.193554406025513
41,760,organic,sometimes,organic,never,12,True,6.039533873563167,25.94158781910822,150.67254150802503,90.73986763290033,2.056707466461333,19.27596907461507,69.62948691208173,11.094544013303206,61.40382169943689,1,879.4107749690467,24.441912111844015,71.21165842593331,4.346429462222673
93,395,synthetic,often,organic,sometimes,12,True,4.968648948110387,28.332934751137035,65.60632828068398,78.78568868094916,0.8110975378397876,20.929134720420663,42.921801776606564,36.14906350297277,74.17572796781126,0,732.4797013358072,22.002325212416544,57.97276688851848,20.024907899064985
64,194,organic,rarely,synthetic,rarely,24,True,6.189354526304197,19.82401098843597,136.4645003552846,80.20664420534209,1.2542864732974295,10.916785673338575,62.09206045196922,26.991153874692202,83.23315846676317,0,396.5316683735576,25.14542518104777,65.37757831805305,9.476996500899176
73,69,synthetic,often,synthetic,rarely,6,True,6.349796604821488,25.03946542769398,209.92040439438608,46.03744621806311,2.699809611156141,26.67160643865261,44.18953764268939,29.138855918657995,61.04907564554373,0,178.9884870899853,23.014853728892398,60.84857292530984,16.136573345797757
81,513,none,often,organic,sometimes,36,True,6.303510920629787,29.446118054480717,130.39895054774954,70.59992609004597,3.2222926521074338,17.95278884045299,65.99316002582935,16.05405113371765,94.766792807552,1,776.6437966001779,20.053598266357337,52.3292937149759,27.617108018666762
101,232,organic,sometimes,synthetic,sometimes,18,True,6.324900662961479,17.52905806590098,212.54262877544073,95.0,2.499887537380407,10.366676426156594,57.61185123103453,32.02147234280887,65.89555347999519,0,338.9236482229089,24.53359530578494,65.01680294420535,10.449601750009705
7,375,synthetic,sometimes,synthetic,sometimes,18,True,5.637640065001978,27.785461238802327,175.1722790066536,78.80047463459026,2.210335290217424,14.928853164321934,54.375496883307996,30.69564995237007,66.80954131148553,-1,22.257266833104925,22.38362791992385,59.813687703993054,17.802684376083093
137,476,synthetic,rarely,none,sometimes,12,True,5.4599228961723405,25.584976302630846,164.24616916352144,82.96208808452522,0.8916753316444639,30.39371608760702,51.20529049115163,18.400993421241353,78.42747179538233,-1,826.3827366820137,22.46893521645733,61.72136499139425,15.809699792148422
31,449,organic,sometimes,organic,sometimes,12,True,6.1146176483517465,21.7952687565666,155.83569434208053,79.53537833745176,0.9307154998407278,10.59096465115841,59.25914501329798,30.149890335543603,81.24829126310732,0,582.6157200360809,24.46757692747312,72.80941867530866,2.7230043972182187
66,1258,organic,rarely,synthetic,sometimes,12,True,5.450991451630814,20.9557298079214,144.02889819735972,62.760597332377436,0.8124072923574202,22.976494772706758,42.02837690776645,34.99512831952679,88.01247777378265,0,3132.655472545319,25.29393950307166,71.8857118992518,2.820348597676542
65,184,organic,sometimes,none,never,18,True,5.251024559330382,24.243830528301082,233.33860101536374,71.9321960712863,2.0640718590754195,26.62279311218045,63.86349882369188,9.513708064127677,92.45122368178085,0,361.85459997024765,25.419646549968782,65.18343382727983,9.396919622751398
11,437,organic,rarely,organic,rarely,6,False,4.698276776138022,25.52397398073763,125.86533575304506,53.471094070475175,3.202674500122778,22.891985692412444,67.58175919643253,9.526255111155024,77.39372190170405,1,0.0,22.34211919061406,65.5826054944736,12.075275314912346
101,163,organic,sometimes,synthetic,often,18,False,5.7849838247529135,26.45329889760086,225.60830196069253,80.57810306351863,1.2867738226718566,22.56415191158606,51.959890833169396,25.475957255244538,65.12308972567872,0,215.43919730211007,19.296386638758676,59.20694095761513,21.496672403626192
124,442,organic,sometimes,synthetic,never,12,True,6.187550695476286,28.122928539537284,146.06025533134658,57.59018142631626,1.2679914134749928,11.865745358427043,63.48088122232448,24.653373419248474,69.2885593215868,-1,618.942154150437,21.688446880430938,66.15215285101566,12.159400268553398
10,211,organic,often,synthetic,sometimes,6,True,5.565061116202117,23.954420613690033,204.52400904682526,67.03559818940421,1.1169936757804957,23.38275328631479,46.45605616051712,30.161190553168083,60.424227112536265,0,0.0,24.779370552621234,65.70386211823691,9.516767329141857
77,1353,none,often,synthetic,sometimes,12,True,5.746994404594543,26.764048808959487,226.42272020020636,87.14479133907346,4.5280298331794135,25.916742054180183,58.41800754280185,15.665250403017957,62.332821419624146,0,1682.2759313785364,23.620080871289936,56.923070662165486,19.456848466544585
18,816,synthetic,sometimes,organic,rarely,24,False,5.5291542054396166,22.69183953705036,181.30174104427172,67.92147323256816,3.9396769799978117,16.6261607081251,40.628348830927386,42.745490460947515,62.876008361674955,1,479.484096010404,17.867283999887235,58.00266730391098,24.130048696201783
23,989,organic,rarely,synthetic,never,12,False,7.21818006620523,25.264078704147003,179.19817791368848,65.91697869034195,0.927552645465371,19.399822248532786,56.502758213744684,24.09741953772253,73.60284795204464,-1,350.19370989072985,22.931178827028624,67.33596905070253,9.732852122268852
127,417,synthetic,often,synthetic,sometimes,18,True,5.9957648025080115,24.090934972483026,166.22512999858475,74.14106750282208,3.76690959493383,30.444633246423628,46.40534098932016,23.15002576425622,77.70484425331401,1,1199.4922975116383,20.961129769232855,61.853366228360805,17.18550400240634
12,1314,organic,sometimes,none,rarely,18,False,5.082470162778889,25.333808004660423,217.86525946582606,68.90217095680617,2.994019313594075,10.130740338572819,62.829722800842816,27.039536860584363,61.235897422908366,0,279.02728314919614,21.31871566253273,58.859312350938616,19.82197198652866
115,148,organic,never,organic,never,12,True,5.8174280634290465,27.225942418078063,148.49241210288548,78.03444750924045,1.5144743995866223,27.57358602446692,41.58411881405584,30.84229516147724,77.03091817853135,0,199.42527679705475,26.235411759516396,64.80803087785446,8.956557362629141
133,325,organic,never,organic,sometimes,18,False,5.913908701727478,25.730274198579217,244.47223134678526,64.2330983077487,4.035432281361044,12.958404773084684,52.297146690888646,34.744448536026674,89.3930799972466,0,418.90785886858265,20.26672586732059,55.51076513342199,24.22250899925742
138,1362,organic,sometimes,none,sometimes,12,False,5.098049898573827,15.383213360155052,168.89940379797454,92.72251596669744,2.465828161768308,28.237705716309918,62.96538696973329,8.796907313956794,65.56178586842738,0,1401.487503321634,22.530224358923004,60.74301002280344,16.726765618273554
53,519,organic,often,organic,rarely,6,True,4.345455843836235,26.652136189083148,199.47375588369732,72.18672442881787,0.5982052854897028,26.594742154389728,68.9018330264065,4.503424819203758,79.60588642116447,1,1139.8116015255193,25.926910184794046,65.81163972255858,8.261450092647365
28,1183,organic,never,synthetic,rarely,6,False,6.024661795572744,24.105443644273524,150.3210652344352,61.03371144211772,2.941456115279403,29.792499711333793,56.46515970160176,13.742340587064447,81.45150563016821,0,1260.949285877276,23.606385792520182,61.4819690908816,14.911645116598216
93,743,synthetic,never,none,rarely,12,True,6.497160288073657,21.694905158057782,112.15487869759352,75.94993751356304,4.450235351684183,31.98954637378823,66.11735275138021,1.8931008748315605,68.35786739835387,0,827.5621974339291,22.329280129614066,68.53621513568974,9.134504734696193
84,60,organic,often,organic,rarely,18,True,5.82920124212983,26.870570637826724,250.7935156661702,56.69608868090852,1.2471544103728796,25.33682846597941,50.893022099020314,23.770149435000278,91.40152193376166,-1,134.38893857280343,22.45884602731073,61.50572084961989,16.03543312306938
101,815,synthetic,rarely,synthetic,rarely,36,False,5.282847773190506,25.090637822062078,145.8631080496111,77.77062750437513,0.6321387159607654,30.57396115553715,46.29258843051044,23.13345041395241,73.26594941766841,1,1026.086634013082,20.415063565857476,56.46428112697024,23.120655307172278
129,676,organic,rarely,organic,rarely,12,False,6.530295112495297,28.563948155767356,209.9324359259184,70.68379687281951,2.6207922532917407,34.477623450378864,59.024264148872106,6.498112400749022,64.41926595475759,0,541.4893393065773,21.396899883224997,61.54852935528635,17.054570761488662
62,87,organic,sometimes,none,often,24,False,5.072746064837041,26.502697997220483,180.90791174119738,81.50381788721269,3.02198283941198,12.774736730337027,53.411666314192765,33.81359695547021,76.11253949206741,1,160.04485461344194,21.19700772106912,60.318933435391685,18.484058843539188
117,100,none,sometimes,synthetic,sometimes,12,False,6.003708690291304,22.062685948090294,133.57184707741072,75.91864745648493,1.5885222271647754,10.31010090693287,54.06303896393517,35.626860129131956,70.54428412660002,0,99.30742927215725,20.425461387960368,55.67122674516386,23.903311866875775
88,213,organic,often,synthetic,never,6,False,6.3851185778694575,25.503282509819535,177.58326466394973,85.01046092567141,2.828508582897686,20.760685258024754,49.50839763373358,29.73091710824167,75.21085863005491,1,494.7109256256899,26.15780360181202,61.02389114587259,12.81830525231539
88,475,none,sometimes,synthetic,rarely,18,True,5.3545176485811705,20.03993246633788,145.52923636378858,74.62963202951588,1.1301084389899296,16.920357694782645,69.14598072703151,13.933661578185848,71.59714524860678,0,510.84846580655204,18.258501065367373,52.561179610334904,29.180319324297727
79,341,none,sometimes,organic,sometimes,12,True,6.445604283159159,24.063934946015827,246.04762743012031,74.39339186185379,4.967675775495817,13.287227997449541,48.241945765585584,38.47082623696487,73.81016264591763,0,454.89643301682344,21.758032343005137,59.712647489158954,18.529320167835905
134,57,organic,never,synthetic,sometimes,12,True,4.508910759202417,21.842540042272738,161.5547904468922,65.12820472848816,3.8803012151378815,11.775191613331387,42.405400422457106,45.81940796421151,72.41699521425944,1,74.15743406501902,25.364262657859886,61.43203294116532,13.2037044009748
104,1428,organic,sometimes,organic,never,12,True,7.406865924183036,22.543046471727983,91.62439095637025,82.32649360729083,3.781280693972516,26.307291214798493,65.3681308896972,8.324577895504305,84.23724893342289,0,1840.8331105392572,25.10087347706447,63.55875958184673,11.340366941088803
98,190,synthetic,sometimes,synthetic,sometimes,18,True,5.6480470539848735,20.356622157742017,131.42382981553232,70.69843364408163,0.614514919575879,26.145559657162107,59.107069523642295,14.747370819195595,71.92114583034521,-1,317.20819822426773,23.047277449646188,62.631165647096466,14.321556903257346
35,218,none,sometimes,organic,never,12,True,4.717731146933093,22.935038147660137,166.26263716332002,77.28982425061078,4.497816525389066,25.07357191198654,64.80122079224462,10.125207295768845,94.44046071236625,0,208.66114976889577,18.24368577189725,54.396465062180404,27.35984916592235
28,786,synthetic,rarely,synthetic,sometimes,12,False,5.055030268122383,24.4987969377022,182.97599887151645,71.42088909618838,1.432890514344011,29.559708236502182,62.0373376936424,8.402954069855411,70.51712849601513,0,1105.7475897497043,19.959197518787978,58.65994378120196,21.380858700010066
95,160,organic,sometimes,synthetic,never,18,True,5.8112681825898695,25.961135640768582,178.68857238589374,71.53366816509178,2.7136899504757808,17.561186957234497,54.7425453258567,27.6962677169088,78.28554508919126,0,309.06791537941234,23.267259828115566,66.24880248298865,10.483937688895779
113,284,organic,often,synthetic,sometimes,24,True,5.7188474047637845,27.010699680549855,263.32977617141205,76.92282674399041,4.66872173028539,10.477902360744102,54.30530404953451,35.21679358972139,84.07027148506963,0,621.0848924183872,21.142514898188075,59.39076367042216,19.46672143138977
125,1063,organic,never,organic,rarely,18,True,6.080035280555262,25.45788684878181,183.96690161247426,81.71037012679807,0.9698185838663664,19.977504701843074,61.69448459393888,18.328010704218045,69.81170612770323,0,1179.8944245836124,25.187675998387864,63.49412103818756,11.318202963424582
18,383,organic,sometimes,synthetic,rarely,24,True,5.326635538744558,22.58751307045852,216.01184105205573,77.79842660997609,2.970412022487388,15.481849048096894,41.01007534641618,43.50807560548693,67.5119825640581,0,153.90484731297033,24.616915677429013,65.71217039403248,9.67091392853851
15,413,synthetic,often,synthetic,rarely,12,False,5.7846554126848035,18.692772285332644,142.21147475643767,70.90717561886896,3.3330096360128145,11.358300870572595,62.459357023786,26.18234210564141,71.11553783413908,-1,232.47838385348223,22.432644569162218,55.68426154282591,21.88309388801187
100,305,organic,often,synthetic,sometimes,24,True,5.664243477295749,26.268159966235938,167.3780957287598,94.81691806400029,2.244419624550412,25.817796968715022,61.11571274902994,13.066490282255046,60.15271443776082,-1,534.1970877585699,23.73298638644216,65.2946314148112,10.97238219874663
79,1301,synthetic,sometimes,synthetic,rarely,12,True,6.541073093169117,23.03972405716683,154.1335136071233,79.82524048828591,3.4580906697655784,21.807045104074543,66.40470213764455,11.788252758280905,67.55092377117589,0,2848.735081958883,23.16461428914628,60.345896891285,16.489488819568727
